"","population_density","age","income","education","has_bike_lane","bike_prop"
"121",7108.8,42.6,0.67072,100,1,0
"122",6057.3,42.7,0.69888,120,1,0
"123",8794.4,48.8,0.58112,115,0,0
"124",6278.4,46.2,0.40064,115,0,0
"125",5215.6,42,0.76288,105,1,0.0952380952380952
"126",4107.1,42.7,0.84736,125,0,0.115384615384615
"127",6239.2,45,0.77824,60,1,0
"128",5083.9,40.3,0.9536,90,1,0
"129",6112.2,42.7,0.77568,175,1,0
"130",4526.2,42.2,0.69376,145,1,0
"131",5425.7,42.5,0.65024,195,1,0
"132",5285.6,39.3,0.76032,135,1,0
"133",6759.7,53.9,0.67243,110,0,0
"134",8113.2,39.4,0.66304,65,1,0.0645161290322581
"135",8443.9,39.8,0.7872,115,1,0
"136",10490.7,37.9,0.74752,75,1,0.0666666666666667
"137",5787.3,38,0.768,125,1,0
"138",7719.8,40.2,0.72448,105,1,0.0571428571428571
"139",8016.7,39.2,0.64192,95,0,0
"140",6706.3,42,0.69547,130,1,0
"141",7798.1,42.4,0.72448,115,1,0
"142",9059.6,39.4,0.73472,30,0,0
"143",8544.5,41.5,0.57088,85,1,0
"144",8054.6,42.7,0.76032,100,0,0
"145",7852,39.9,0.66816,105,1,0.0666666666666667
"146",7707.8,39.1,0.65536,75,0,0
"147",8477.5,43,0.51968,155,1,0
"148",5848.6,39.3,0.75648,290,0,0.0666666666666667
"149",7834.4,39.2,0.71936,115,1,0
"150",7758.6,37.7,0.63744,150,0,0.0512820512820513
"151",2862.3,39.5,0.71424,75,1,0
"152",8346.3,38.5,0.63616,135,1,0.0714285714285714
"153",8457.4,42.1,0.70656,125,1,0
"154",9505.6,40,0.72832,220,1,0
"155",8422.8,42.3,0.80128,90,1,0
"156",7676.2,41.6,0.7424,190,1,0.0967741935483871
"157",3907,43.5,0.72448,195,1,0
"158",9766.3,61.3,0.71552,165,0,0.166666666666667
"159",2629.4,42.4,0.70656,140,1,0
"160",6742.9,45.1,0.27264,185,1,0
